time,seconds_elapsed,z,y,x
1646037694620736500,0.069736572265625,-4.69447135925293,-3.8945209980010986,9.228882789611816
1646037694630734600,0.079734619140625,-4.716170310974121,-3.854353189468384,8.9258394241333
1646037694640732200,0.089732177734375,-4.518479824066162,-3.671152353286743,8.353372573852539
1646037694650729700,0.099729736328125,-4.494375705718994,-3.5910680294036865,7.844809532165527
1646037694660727300,0.109727294921875,-4.539486408233643,-3.421938419342041,7.262384414672852
1646037694670724900,0.119724853515625,-4.558457374572754,-3.216968059539795,6.659036636352539
1646037694680889000,0.12988916015625,-4.521196365356445,-3.0600550174713135,6.0852155685424805
1646037694691029500,0.140029541015625,-4.37762975692749,-2.8810272216796875,5.514095306396484
1646037694701277400,0.15027734375,-4.182506084442139,-2.7104859352111816,5.049590110778809
1646037694711497200,0.160497314453125,-4.084089756011963,-2.5460453033447266,4.654627799987793
1646037694721694700,0.17069482421875,-3.8808536529541016,-2.3426284790039062,4.260643005371094
1646037694731874000,0.1808740234375,-3.6198387145996094,-2.1554183959960938,3.960881233215332
1646037694742038300,0.191038330078125,-3.316558837890625,-2.0338592529296875,3.6995763778686523
1646037694752189400,0.201189453125,-3.0927858352661133,-1.8687386512756348,3.406154155731201
1646037694762329900,0.211329833984375,-2.7693467140197754,-1.7225115299224854,2.966047763824463
1646037694772527600,0.221527587890625,-2.3336472511291504,-1.5083690881729126,2.491555690765381
1646037694782712600,0.231712646484375,-2.155576229095459,-1.569349765777588,2.2397594451904297
1646037694792886500,0.241886474609375,-2.084683895111084,-1.4489277601242065,1.949474811553955
1646037694803050800,0.25205078125,-2.0304274559020996,-1.4478615522384644,1.6790719032287598
1646037694813258800,0.2622587890625,-2.138880729675293,-1.496878743171692,1.4597549438476562
1646037694825765400,0.274765380859375,-2.1603012084960938,-1.5057199001312256,1.3316268920898438
1646037694835953400,0.284953369140625,-2.2859153747558594,-1.4414409399032593,1.1287708282470703
1646037694846132700,0.2951328125,-2.404568672180176,-1.5515005588531494,1.034719467163086
1646037694856304000,0.30530419921875,-2.5274996757507324,-1.5423346757888794,0.8590602874755859
1646037694866509800,0.315509765625,-2.538910388946533,-1.6041345596313477,0.756340503692627
1646037694876707300,0.325707275390625,-2.467167854309082,-1.723482370376587,0.6898770332336426
1646037694886897200,0.335897216796875,-2.3145060539245605,-1.7367253303527832,0.700009822845459
1646037694897080000,0.346080078125,-2.1262388229370117,-1.7479019165039062,0.7152256965637207
1646037694907256000,0.356256103515625,-2.117593288421631,-1.8426430225372314,0.666628360748291
1646037694917426000,0.366426025390625,-2.25701904296875,-1.8734400272369385,0.4656233787536621
1646037694927590100,0.376590087890625,-2.3816065788269043,-1.7681560516357422,0.16957902908325195
1646037694937754400,0.38675439453125,-2.3339552879333496,-1.6387453079223633,-0.16916465759277344
1646037694947918600,0.396918701171875,-2.3160476684570312,-1.600156307220459,-0.41244077682495117
1646037694958082800,0.407082763671875,-2.1379284858703613,-1.648423671722412,-0.4015946388244629
1646037694968247000,0.4172470703125,-1.7590141296386719,-1.8822753429412842,-0.3776578903198242
1646037694978411000,0.427410888671875,-1.430410385131836,-1.9865080118179321,-0.39765310287475586
1646037694988542000,0.4375419921875,-1.7246112823486328,-2.1995999813079834,-0.3752250671386719
1646037694998673000,0.4476728515625,-1.7823395729064941,-2.045835256576538,-0.7960586547851562
1646037695008770300,0.457770263671875,-2.1238040924072266,-2.2138373851776123,-1.1139287948608398
1646037695018867700,0.46786767578125,-2.0389537811279297,-2.13381028175354,-1.1998119354248047
1646037695028965400,0.47796533203125,-2.787132740020752,-1.669142246246338,-2.465507984161377
1646037695039063000,0.48806298828125,-2.830080032348633,-1.6154011487960815,-2.5529870986938477
1646037695049160400,0.498160400390625,-3.000995397567749,-1.633570671081543,-2.466115951538086
1646037695059257900,0.5082578125,-3.2482430934906006,-1.7249497175216675,-2.3227310180664062
1646037695069355500,0.51835546875,-5.215530872344971,-1.5700719356536865,-1.872833251953125
1646037695079419600,0.528419677734375,-4.9024481773376465,-2.5441606044769287,-1.0462522506713867
1646037695089484000,0.538484130859375,-3.8540821075439453,-3.714493751525879,-0.09433364868164062
1646037695099548200,0.548548095703125,-3.406224489212036,-3.6535677909851074,0.16614437103271484
1646037695109612300,0.5586123046875,-3.209839105606079,-3.225573778152466,0.1349954605102539
1646037695119643100,0.56864306640625,-2.565664052963257,-2.7817776203155518,-0.04118824005126953
1646037695129674000,0.578674072265625,-2.1983683109283447,-2.437584638595581,-0.23511600494384766
1646037695139704800,0.588704833984375,-2.2010138034820557,-2.5562074184417725,-0.14634418487548828
1646037695149736000,0.59873583984375,-2.5455832481384277,-2.6661479473114014,-0.17238998413085938
1646037695159766800,0.608766845703125,-2.8758692741394043,-2.371706962585449,-0.5586309432983398
1646037695169764400,0.618764404296875,-2.9741764068603516,-2.7560641765594482,-0.47550487518310547
1646037695179762000,0.628761962890625,-3.30391263961792,-2.6292269229888916,-0.6219005584716797
1646037695189759500,0.638759521484375,-3.31949520111084,-2.575706958770752,-0.6568536758422852
1646037695199757000,0.648757080078125,-3.5859668254852295,-2.2754831314086914,-0.7792396545410156
1646037695209754600,0.658754638671875,-2.9611778259277344,-3.0136210918426514,-0.019471168518066406
1646037695219752200,0.668752197265625,-2.8253917694091797,-2.7684340476989746,-0.030134201049804688
1646037695229749500,0.67874951171875,-2.472470998764038,-3.3998239040374756,0.5665521621704102
1646037695239747000,0.6887470703125,-2.018913507461548,-3.131761312484741,0.3511037826538086
1646037695249744600,0.69874462890625,-1.4659357070922852,-3.208876609802246,0.2580423355102539
1646037695259742200,0.7087421875,-0.6137514114379883,-3.1208112239837646,0.22069740295410156
1646037695269739800,0.71873974609375,-0.008728742599487305,-2.6988980770111084,0.21286296844482422
1646037695279737600,0.728737548828125,0.11124944686889648,-2.500741958618164,0.3416109085083008
1646037695289735000,0.73873486328125,0.3398561477661133,-2.1767144203186035,0.6879968643188477
1646037695299732500,0.748732421875,0.27659010887145996,-2.5328726768493652,1.1779766082763672
1646037695309730000,0.75872998046875,-0.10540199279785156,-2.219559669494629,1.3574342727661133
1646037695319727600,0.7687275390625,-0.2518033981323242,-2.3397040367126465,1.8170537948608398
1646037695329725200,0.77872509765625,0.06609153747558594,-3.2798023223876953,2.607651710510254
1646037695339722800,0.78872265625,0.5693693161010742,-3.8977203369140625,3.459857940673828
1646037695349720300,0.79872021484375,0.7518788576126099,-4.202581882476807,4.4630584716796875
1646037695359718000,0.8087177734375,0.6614543199539185,-4.299678802490234,4.522442817687988
1646037695369715500,0.818715576171875,0.6026216745376587,-4.113612651824951,4.150942802429199
1646037695379713000,0.828713134765625,0.4712824821472168,-3.7932186126708984,4.044919967651367
1646037695389710600,0.838710693359375,-0.48670268058776855,-3.2969207763671875,3.610506057739258
1646037695399708200,0.848708251953125,-0.9558095335960388,-3.1628317832946777,3.2969284057617188
1646037695409705700,0.858705810546875,-1.2493337392807007,-2.7698044776916504,2.8922371864318848
1646037695419703300,0.868703369140625,-0.9272701740264893,-2.629451274871826,2.2866225242614746
1646037695429700900,0.878700927734375,-0.5371615886688232,-2.4775538444519043,1.7845497131347656
1646037695439698400,0.888698486328125,0.1980588436126709,-1.9381442070007324,1.1026229858398438
1646037695449696000,0.898696044921875,0.5474157333374023,-1.773118019104004,0.7524495124816895
1646037695459693600,0.908693603515625,1.0955547094345093,-1.5003056526184082,0.7195968627929688
1646037695469691100,0.918691162109375,0.6452559232711792,-1.0629158020019531,0.5032706260681152
1646037695479688700,0.928688720703125,0.6551518440246582,-0.3553800582885742,0.3577742576599121
1646037695489686300,0.938686279296875,0.646403431892395,-0.01852893829345703,0.530278205871582
1646037695499683800,0.948683837890625,0.6661685705184937,0.5727076530456543,0.4262866973876953
1646037695509681400,0.958681396484375,0.8296247720718384,1.1399140357971191,0.15515851974487305
1646037695519679000,0.968678955078125,0.9941122531890869,1.348862648010254,-0.03470611572265625
1646037695529676500,0.978676513671875,1.1849125623703003,1.4801793098449707,-0.3939704895019531
1646037695539674000,0.988674072265625,1.093381404876709,1.4544544219970703,-0.5000929832458496
1646037695549671400,0.99867138671875,1.066760540008545,1.457296371459961,-0.2550973892211914
1646037695559669000,1.0086689453125,0.8845399618148804,1.4437565803527832,0.12555980682373047
1646037695569666600,1.01866650390625,0.4692699909210205,1.3762292861938477,0.6007876396179199
1646037695579664100,1.0286640625,-0.08706510066986084,1.3436188697814941,0.9907793998718262
1646037695589661700,1.03866162109375,-0.6577917337417603,1.2683320045471191,1.282163143157959
1646037695599659300,1.0486591796875,-1.2225345373153687,1.2321972846984863,1.376784324645996
1646037695609656800,1.05865673828125,-1.6145299673080444,1.2318825721740723,1.419405460357666
1646037695619654400,1.068654296875,-1.8466973304748535,1.2095813751220703,1.4501533508300781
1646037695629652000,1.07865185546875,-1.9143613576889038,1.0666680335998535,1.5262794494628906
1646037695639649500,1.0886494140625,-1.8311748504638672,1.1366691589355469,1.4762849807739258
1646037695649647000,1.098647216796875,-1.7304120063781738,1.189681053161621,1.3727517127990723
1646037695659644700,1.108644775390625,-1.6500271558761597,1.2954225540161133,1.4223408699035645
1646037695669642200,1.118642333984375,-1.6284396648406982,1.3833813667297363,1.4059944152832031
1646037695679639800,1.128639892578125,-1.5350013971328735,1.5025243759155273,1.396754264831543
1646037695689637400,1.138637451171875,-1.1795992851257324,1.5705761909484863,1.113759994506836
1646037695699635000,1.148635009765625,-0.8723788857460022,1.6133599281311035,0.9278044700622559
1646037695709632300,1.15863232421875,-0.4593474864959717,1.6647539138793945,0.729067325592041
1646037695719629800,1.1686298828125,-0.07642114162445068,1.7228870391845703,0.5874242782592773
1646037695729627400,1.17862744140625,0.09779191017150879,1.6703968048095703,0.5558357238769531
1646037695739625000,1.188625,0.23403489589691162,1.6826577186584473,0.517913818359375
1646037695749622500,1.19862255859375,0.07800459861755371,1.6777892112731934,0.5858392715454102
1646037695759620000,1.2086201171875,-0.10487055778503418,1.669435977935791,0.636385440826416
1646037695769617700,1.21861767578125,-0.3194887638092041,1.6886754035949707,0.7202486991882324
1646037695779615200,1.228615234375,-0.5380893349647522,1.7041091918945312,0.8275599479675293
1646037695789612800,1.23861279296875,-0.9494850635528564,1.7419190406799316,0.8887896537780762
1646037695799610400,1.2486103515625,-1.433797001838684,1.5828757286071777,0.9845552444458008
1646037695809608000,1.25860791015625,-1.930677890777588,1.4090375900268555,1.1632790565490723
1646037695819605500,1.26860546875,-2.6346635818481445,1.2320551872253418,1.2515559196472168
1646037695829603000,1.27860302734375,-2.858168601989746,1.3475427627563477,1.1322002410888672
1646037695839600600,1.2886005859375,-2.9564907550811768,1.0745668411254883,1.3378686904907227
1646037695849598200,1.29859814453125,-2.873093366622925,0.8164634704589844,1.282292366027832
1646037695859595800,1.308595703125,-2.889277935028076,0.7726554870605469,1.2441234588623047
1646037695869593300,1.31859326171875,-1.7023805379867554,0.8386540412902832,0.7185215950012207
1646037695879591000,1.3285908203125,-1.2736409902572632,0.6619887351989746,0.6462368965148926
1646037695889588500,1.33858837890625,-0.7624136209487915,0.4582862854003906,0.6236419677734375
1646037695899586000,1.3485859375,-0.3036050796508789,0.31226682662963867,0.6236143112182617
1646037695909583600,1.35858349609375,-0.012417197227478027,0.08037805557250977,0.5412445068359375
1646037695919581200,1.368581298828125,0.3202618360519409,-0.09195375442504883,0.47206592559814453
1646037695929578800,1.378578857421875,0.32585036754608154,-0.2774977684020996,0.40054988861083984
1646037695939576300,1.388576416015625,0.18375647068023682,-0.5006003379821777,0.3901796340942383
1646037695949574000,1.398573974609375,-0.04896140098571777,-0.758723258972168,0.5127038955688477
1646037695959571500,1.408571533203125,-0.3412911891937256,-0.9367132186889648,0.5836358070373535
1646037695969569000,1.418569091796875,-0.6015366315841675,-1.1127018928527832,0.5797982215881348
1646037695979566600,1.428566650390625,-0.8033153414726257,-1.2744317054748535,0.42781734466552734
1646037695989564200,1.438564208984375,-0.7885518074035645,-1.2047128677368164,0.21813344955444336
1646037695999561700,1.448561767578125,-0.7555083632469177,-1.505678653717041,0.4639244079589844
1646037696009559300,1.458559326171875,-0.9049674272537231,-2.4643497467041016,1.2053260803222656
1646037696019556900,1.468556884765625,-1.0024113655090332,-3.5259909629821777,1.8335041999816895
1646037696029554400,1.478554443359375,-0.8058262467384338,-4.072895526885986,1.9921140670776367
1646037696039552000,1.488552001953125,-0.47760969400405884,-4.340236186981201,1.8984894752502441
1646037696049549600,1.498549560546875,-0.029004693031311035,-4.340657711029053,1.821310043334961
1646037696059547100,1.508547119140625,0.30010902881622314,-4.262501239776611,2.0262746810913086
1646037696069544400,1.51854443359375,0.5999636650085449,-4.143279075622559,2.3488540649414062
1646037696079542000,1.5285419921875,0.9377274513244629,-3.8406410217285156,2.4946060180664062
1646037696089539600,1.53853955078125,1.2387346029281616,-3.499290943145752,2.450399398803711
1646037696099537200,1.548537109375,1.5140297412872314,-3.1908726692199707,2.1558103561401367
1646037696109534700,1.55853466796875,2.1229162216186523,-2.7023749351501465,1.2887077331542969
1646037696119532300,1.5685322265625,2.512906789779663,-2.280472755432129,0.26869869232177734
1646037696129529900,1.57852978515625,2.791184425354004,-1.8019285202026367,-0.8219656944274902
1646037696139527400,1.58852734375,2.542104721069336,-1.5247526168823242,-1.390127182006836
1646037696149525000,1.59852490234375,1.7206480503082275,-1.3977293968200684,-1.563492774963379
1646037696159522600,1.6085224609375,0.8960005044937134,-1.4405879974365234,-1.6801362037658691
